# t x y z vx vy vz m
1880.000 2.52776 54.28253 0.01736 -0.00216 0.00132 -0.00000 1.000e+04 
1890.000 16.17102 -43.03736 -0.01570 0.00063 0.00177 0.00000 1.000e+04 
1900.000 28.83825 50.55954 0.02307 -0.00197 0.00197 0.00000 1.000e+04 
1910.000 -17.60992 -37.13851 -0.01717 0.00058 0.00064 -0.00000 1.000e+04 
1920.000 48.48942 34.88050 0.02095 -0.00156 0.00243 0.00000 1.000e+04 
1930.000 -39.78810 -8.23921 -0.00859 -0.00043 -0.00015 -0.00000 1.000e+04 
1940.000 57.55899 11.39462 0.00857 -0.00100 0.00267 0.00000 1.000e+04 
1950.000 -36.24014 26.68750 0.00765 -0.00157 0.00010 -0.00000 1.000e+04 
1960.000 53.13406 -14.67614 -0.01033 -0.00034 0.00265 0.00000 1.000e+04 
1970.000 -14.00804 49.09843 0.01914 -0.00211 0.00086 -0.00000 1.000e+04 
1980.000 33.91756 -36.22326 -0.01796 0.00033 0.00225 0.00000 1.000e+04 
1990.000 13.49743 54.45032 0.02311 -0.00212 0.00161 0.00000 1.000e+04 
2000.000 2.66701 -43.65019 -0.01627 0.00072 0.00135 0.00000 1.000e+04 
2010.000 37.78620 45.47258 0.01983 -0.00183 0.00218 0.00000 1.000e+04 
2020.000 -29.16290 -27.75091 -0.01070 0.00028 0.00021 -0.00000 1.000e+04 
2030.000 53.63838 26.03156 0.01366 -0.00135 0.00256 0.00000 1.000e+04 
2040.000 -41.43411 6.40698 -0.00273 -0.00094 -0.00017 -0.00000 1.000e+04 
2050.000 57.48917 0.93839 0.00820 -0.00074 0.00270 0.00000 1.000e+04 
2060.000 -28.96569 37.37798 0.01105 -0.00186 0.00037 -0.00000 1.000e+04 
2070.000 47.43056 -24.04761 -0.00091 -0.00007 0.00255 0.00000 1.000e+04 
2080.000 -3.37759 53.09944 0.01770 -0.00216 0.00117 -0.00000 1.000e+04 
2090.000 22.82200 -41.40919 -0.01128 0.00054 0.00195 0.00000 1.000e+04 
2100.000 23.77139 52.44487 0.02018 -0.00203 0.00185 -0.00000 1.000e+04 
2110.000 -10.95262 -40.41072 -0.01609 0.00067 0.00088 -0.00000 1.000e+04 
2120.000 45.22716 38.81657 0.02001 -0.00166 0.00235 0.00000 1.000e+04 
2130.000 -37.16162 -15.49286 -0.01170 -0.00016 -0.00007 -0.00000 1.000e+04 
2140.000 56.61874 16.71853 0.01682 -0.00113 0.00264 0.00000 1.000e+04 
2150.000 -39.09616 19.57631 -0.00188 -0.00137 -0.00003 -0.00000 1.000e+04 
2160.000 55.35981 -8.91900 0.01474 -0.00049 0.00268 0.00000 1.000e+04 
2170.000 -20.13164 45.30167 0.00366 -0.00204 0.00067 -0.00000 1.000e+04 
2180.000 39.81533 -31.97914 0.01213 0.00018 0.00238 0.00000 1.000e+04 
2190.000 6.98256 54.59077 0.00623 -0.00215 0.00144 -0.00000 1.000e+04 
2200.000 10.90353 -43.69958 0.00512 0.00068 0.00161 0.00000 1.000e+04 
2210.000 32.31967 48.79574 0.01022 -0.00192 0.00206 -0.00000 1.000e+04 
2220.000 -22.17123 -34.10260 -0.00406 0.00049 0.00047 0.00000 1.000e+04 
2230.000 50.29760 31.96994 0.01093 -0.00149 0.00248 -0.00000 1.000e+04 
2240.000 -40.76571 -3.72336 -0.01123 -0.00059 -0.00018 0.00000 1.000e+04 
2250.000 57.66393 8.40783 0.01776 -0.00093 0.00269 -0.00000 1.000e+04 
2260.000 -34.52870 29.76090 -0.01640 -0.00166 0.00017 -0.00000 1.000e+04 
2270.000 51.84696 -17.10574 0.01991 -0.00027 0.00263 -0.00000 1.000e+04 
2280.000 -11.52902 50.26311 -0.01805 -0.00213 0.00094 -0.00000 1.000e+04 
2290.000 31.50619 -37.56643 0.01800 0.00039 0.00219 -0.00000 1.000e+04 
2300.000 15.60979 54.18867 -0.01824 -0.00211 0.00166 -0.00000 1.000e+04 
2310.000 -0.08758 -43.26129 0.01588 0.00072 0.00126 0.00000 1.000e+04 
2320.000 38.93266 44.48632 -0.01592 -0.00181 0.00221 -0.00000 1.000e+04 
2330.000 -30.59300 -26.05684 0.01120 0.00022 0.00016 0.00000 1.000e+04 
2340.000 53.95926 25.02350 -0.01448 -0.00133 0.00257 -0.00000 1.000e+04 
2350.000 -41.38957 8.04934 0.00191 -0.00099 -0.00016 0.00000 1.000e+04 
2360.000 57.23883 0.09312 -0.00746 -0.00072 0.00270 -0.00000 1.000e+04 
2370.000 -28.35881 38.18148 -0.00857 -0.00188 0.00040 0.00000 1.000e+04 
2380.000 46.83163 -24.49099 0.00189 -0.00005 0.00254 -0.00000 1.000e+04 
2390.000 -3.17369 53.20415 -0.01809 -0.00216 0.00118 0.00000 1.000e+04 
2400.000 22.45906 -41.36664 0.01044 0.00055 0.00195 -0.00000 1.000e+04 
2410.000 23.50971 52.55730 -0.02329 -0.00203 0.00185 0.00000 1.000e+04 
2420.000 -10.99220 -40.32815 0.01709 0.00068 0.00088 -0.00000 1.000e+04 
2430.000 44.73623 39.21301 -0.02337 -0.00167 0.00235 -0.00000 1.000e+04 
2440.000 -36.99033 -15.97778 0.01418 -0.00015 -0.00006 0.00000 1.000e+04 
2450.000 56.37273 17.41657 -0.02050 -0.00114 0.00264 -0.00000 1.000e+04 
2460.000 -39.37075 19.09252 0.00455 -0.00135 -0.00004 0.00000 1.000e+04 
2470.000 55.42324 -8.15786 -0.01368 -0.00051 0.00269 -0.00000 1.000e+04 
2480.000 -20.84696 45.00707 -0.00726 -0.00203 0.00066 0.00000 1.000e+04 
2490.000 40.17184 -31.47353 0.00224 0.00017 0.00240 -0.00000 1.000e+04 
2500.000 6.16705 54.68456 -0.01648 -0.00215 0.00142 0.00000 1.000e+04 
2510.000 11.35095 -43.59909 0.00609 0.00068 0.00163 -0.00000 1.000e+04 
2520.000 31.79377 49.17302 -0.01987 -0.00193 0.00205 0.00000 1.000e+04 
2530.000 -22.01760 -34.20851 0.01415 0.00050 0.00048 -0.00000 1.000e+04 
2540.000 50.13108 32.34236 -0.01946 -0.00150 0.00247 -0.00000 1.000e+04 
2550.000 -40.88321 -3.44745 0.00909 -0.00059 -0.00018 0.00000 1.000e+04 
2560.000 57.62264 8.48081 -0.01683 -0.00093 0.00269 -0.00000 1.000e+04 
2570.000 -34.40128 30.25152 0.00352 -0.00167 0.00018 0.00000 1.000e+04 
2580.000 51.61156 -17.30609 -0.00805 -0.00026 0.00263 -0.00000 1.000e+04 
2590.000 -11.14802 50.62044 -0.00345 -0.00212 0.00095 0.00000 1.000e+04 
2600.000 30.80520 -37.83239 -0.00052 0.00040 0.00217 -0.00000 1.000e+04 
2610.000 16.23398 54.26117 -0.01324 -0.00210 0.00168 0.00000 1.000e+04 
2620.000 -1.42302 -43.00124 0.00658 0.00073 0.00121 -0.00000 1.000e+04 
2630.000 39.68770 44.02836 -0.01727 -0.00179 0.00223 0.00000 1.000e+04 
2640.000 -31.78576 -24.52933 0.01090 0.00017 0.00012 -0.00000 1.000e+04 
2650.000 54.38898 24.06017 -0.01158 -0.00130 0.00258 0.00000 1.000e+04 
2660.000 -41.25610 10.21946 0.00643 -0.00106 -0.00014 0.00000 1.000e+04 
2670.000 57.01506 -1.30606 -0.01021 -0.00068 0.00270 -0.00000 1.000e+04 
2680.000 -26.93710 39.81595 -0.00443 -0.00191 0.00045 0.00000 1.000e+04 
2690.000 45.60531 -25.90763 0.00327 -0.00000 0.00252 -0.00000 1.000e+04 
2700.000 -1.22996 53.73420 -0.01187 -0.00216 0.00123 0.00000 1.000e+04 
2710.000 20.18223 -41.96693 -0.00115 0.00059 0.00189 -0.00000 1.000e+04 
2720.000 25.19781 52.04368 -0.00822 -0.00201 0.00189 0.00000 1.000e+04 
2730.000 -13.28150 -39.28541 0.00668 0.00065 0.00080 -0.00000 1.000e+04 
2740.000 45.88795 38.06411 -0.01472 -0.00164 0.00237 0.00000 1.000e+04 
